DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,ARREST,LARCENYCODE,OBJECTID
2017/03/28 04:00:00+00,700,700,500 BURNET AV,LARCENY,,,All Other,1
2017/04/09 04:00:00+00,1835,1835,400 ERIE BLVD E,LARCENY,,,All Other,2
2017/07/01 04:00:00+00,0,0,600 MADISON ST,LARCENY,,,All Other,3
2017/12/27 05:00:00+00,1,1,200 CLOVER RIDGE DR,LARCENY,,Yes,All Other,4
2017/12/29 05:00:00+00,3,3,700 EMERSON AV,LARCENY,,,All Other,5
2018/01/01 05:00:00+00,29,29,200 RICH ST,LARCENY,,,All Other,6
2018/01/01 05:00:00+00,105,105,100 HEADSON DR,LARCENY,,,All Other,7
2018/01/01 05:00:00+00,248,248,700 IRVING AV,ROBBERY,A,,All Other,8
2018/01/01 05:00:00+00,2230,2230,300 BURT ST,ROBBERY,,,All Other,9
2018/01/01 05:00:00+00,1635,1635,100 MAPLE TER,LARCENY,,,All Other,10
2018/01/02 05:00:00+00,845,845,500 WALNUT AV,LARCENY,,,All Other,11
2018/01/02 05:00:00+00,1700,1400,4300 S  SALINA ST,LARCENY,,,All Other,12
2018/01/02 05:00:00+00,1700,1700,1000 W  GENESEE ST,LARCENY,,,All Other,13
2018/01/02 05:00:00+00,1300,1300,200 LINCOLN AV,LARCENY,,,All Other,14
2018/01/03 05:00:00+00,0,1156,500 TOMPKINS ST,LARCENY,,,All Other,15
2018/01/03 05:00:00+00,1250,1254,1100 WILLIS AV,LARCENY,,Yes,All Other,16
2018/01/03 05:00:00+00,1311,1311,200 WINDING RIDGE RD,LARCENY,,,All Other,17
2018/01/03 05:00:00+00,1420,1420,1 DESTINY USA DR,LARCENY,,,All Other,18
2018/01/03 05:00:00+00,800,1200,100 GERTRUDE ST,LARCENY,,,All Other,19
2018/01/04 05:00:00+00,1441,1441,2700 E  GENESEE ST,LARCENY,,,All Other,20
2018/01/04 05:00:00+00,0,0,400 GRIFFITHS ST,LARCENY,,,All Other,21
2018/01/05 05:00:00+00,334,334,500 S  CROUSE AV,LARCENY,,,All Other,22
2018/01/05 05:00:00+00,621,900,200 N  STATE ST,LARCENY,,,All Other,23
2018/01/05 05:00:00+00,1143,1143,1100 S  SALINA ST,LARCENY,,,All Other,24
2018/01/05 05:00:00+00,1945,1945,400 ERIE BLVD E,ROBBERY,A,,All Other,25
2018/01/05 05:00:00+00,2000,2005,1 DESTINY USA DR,LARCENY,,,All Other,26
2018/01/05 05:00:00+00,1,2359,200 GRACE ST,LARCENY,,,All Other,27
2018/01/06 05:00:00+00,1040,1040,600 FIRST NORTH ST,ROBBERY,,,All Other,28
2018/01/06 05:00:00+00,1040,1040,600 FIRST NORTH ST,ROBBERY,A,,All Other,29
2018/01/06 05:00:00+00,1640,1640,100 JAMESVILLE AV,LARCENY,,,All Other,30
2018/01/06 05:00:00+00,0,1000,100 WIMAN AV,LARCENY,,,All Other,31
2018/01/07 05:00:00+00,100,100,100 CAMBRIDGE ST,LARCENY,,,All Other,32
2018/01/08 05:00:00+00,818,818,200 STRONG AV,LARCENY,,,All Other,33
2018/01/08 05:00:00+00,1210,1210,400 N  SALINA ST,ROBBERY,,,All Other,34
2018/01/08 05:00:00+00,2131,2131,700 FIRST NORTH ST,LARCENY,,Yes,All Other,35
2018/01/09 05:00:00+00,1310,1310,300 VALLEY DR,LARCENY,,,All Other,36
2018/01/09 05:00:00+00,1230,1200,100 N  GEDDES ST,LARCENY,,,All Other,37
2018/01/10 05:00:00+00,839,839,600 ROBINSON ST,LARCENY,,,All Other,38
