DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST,LARCENYCODE,OBJECTID
2022/12/31 00:00:00+00,0432,0432,1 DESTINY USA DR,BURGLARY,,From Building,126006
2022/12/31 00:00:00+00,2101,2101,100 HUNT AV,AGGRAVATED ASSAULT,Yes,,126007
2022/12/31 00:00:00+00,1203,1203,1900 ERIE BLVD W,AGGRAVATED ASSAULT,Yes,,126008
2022/12/31 00:00:00+00,1743,1743,200 WESTMORELAND AV,MV THEFT,,Motor Vehicle,126009
2022/12/31 00:00:00+00,1840,1840,4700 ONONDAGA BLVD,LARCENY,,From Building,126010
2022/12/31 00:00:00+00,2135,2135,500 BUTTERNUT ST,LARCENY,,Shoplifting,126011
2022/12/31 00:00:00+00,1303,1303,500 S  CLINTON ST,LARCENY,,From Building,126012
2022/12/31 00:00:00+00,2315,0330,500 WOLF ST,BURGLARY,,Of Bicycle,126013
2022/12/31 00:00:00+00,1101,1101,600 PARK ST,LARCENY,,From Mailbox,126014
2022/12/31 00:00:00+00,1106,1106,600 S  GEDDES ST,AGGRAVATED ASSAULT,Yes,,126015
2022/12/31 00:00:00+00,2210,2210,600 SEELEY RD,AGGRAVATED ASSAULT,,,126016
2022/12/31 00:00:00+00,2327,2327,700 KIRKPATRICK ST,AGGRAVATED ASSAULT,,,126017
2022/12/30 00:00:00+00,1033,1033,100 DAVIS ST,AGGRAVATED ASSAULT,Yes,,126018
2022/12/30 00:00:00+00,0030,0030,100 FORDHAM RD,BURGLARY,,Motor Vehicle,126019
2022/12/30 00:00:00+00,2221,2221,1200 LODI ST,AGGRAVATED ASSAULT,Yes,,126020
2022/12/30 00:00:00+00,0601,0601,1200 S  GEDDES ST,LARCENY,,All Other,126021
2022/12/30 00:00:00+00,1358,1358,300 CANNON ST,BURGLARY,,,126022
2022/12/30 00:00:00+00,2200,2200,300 HERBERT ST,BURGLARY,,From Building,126023
2022/12/30 00:00:00+00,0130,0130,400 JAMES ST,LARCENY,,From Motor Vehicle,126024
2022/12/30 00:00:00+00,1800,2306,400 TALLMAN ST,LARCENY,,From Motor Vehicle,126025
2022/12/30 00:00:00+00,1343,1343,600 BUTTERNUT ST,BURGLARY,,Shoplifting,126026
2022/12/30 00:00:00+00,1837,1837,700 ERIE BLVD E,MV THEFT,,Motor Vehicle,126027
2022/12/30 00:00:00+00,2139,2139,800 HIGHLAND ST,AGGRAVATED ASSAULT,,,126028
2022/12/30 00:00:00+00,1611,1611,900 S  MCBRIDE ST,LARCENY,,All Other,126029
2022/12/29 00:00:00+00,0530,1435,100 BISHOP AV,LARCENY,,All Other,126030
2022/12/29 00:00:00+00,1330,1330,100 EDGEHILL RD,BURGLARY,,,126031
2022/12/29 00:00:00+00,0120,0233,100 S  ALVORD ST,ROBBERY,,,126032
2022/12/29 00:00:00+00,1121,1121,1100 S  SALINA ST,AGGRAVATED ASSAULT,Yes,,126033
2022/12/29 00:00:00+00,2228,2228,1100 WOLF ST,AGGRAVATED ASSAULT,,,126034
2022/12/29 00:00:00+00,2332,2332,1200 ALMOND ST,AGGRAVATED ASSAULT,Yes,,126035
2022/12/29 00:00:00+00,2200,1427,1300 OAK ST,LARCENY,,From Motor Vehicle,126036
2022/12/29 00:00:00+00,0613,0613,1400 GRANT BLVD,BURGLARY,Yes,,126037
2022/12/29 00:00:00+00,0441,0441,1600 W  ONONDAGA ST,LARCENY,,All Other,126038
2022/12/29 00:00:00+00,2115,2115,200 CANNON ST,BURGLARY,,From Building,126039
2022/12/29 00:00:00+00,2330,2330,200 W  BORDEN AV,BURGLARY,Yes,,126040
2022/12/29 00:00:00+00,0000,1400,2500 E  GENESEE ST,BURGLARY,,From Building,126041
2022/12/29 00:00:00+00,1026,1456,300 MIDLAND AV,LARCENY,,All Other,126042
2022/12/29 00:00:00+00,0806,0806,500 BUTTERNUT ST,LARCENY,,From Building,126043
2022/12/29 00:00:00+00,1431,1431,500 BUTTERNUT ST,LARCENY,,From Building,126044
2022/12/29 00:00:00+00,1050,1439,600 BURNET AV,LARCENY,,All Other,126045
2022/12/29 00:00:00+00,2017,2017,600 W  OSTRANDER AV,AGGRAVATED ASSAULT,,,126046
2022/12/29 00:00:00+00,2220,1449,700 HAWLEY AV,LARCENY,,All Other,126047
2022/12/29 00:00:00+00,2200,2237,800 E  WILLOW ST,BURGLARY,,From Building,126048
2022/12/29 00:00:00+00,0900,1509,900 E  GENESEE ST,LARCENY,,From Motor Vehicle,126049
2022/12/29 00:00:00+00,1928,1928,900 N  SALINA ST,AGGRAVATED ASSAULT,,,126050
2022/12/28 00:00:00+00,1424,1508,100 HOOD AV,BURGLARY,,From Building,126051
2022/12/28 00:00:00+00,1900,0300,100 MATHER ST,MV THEFT,,Motor Vehicle,126052
2022/12/28 00:00:00+00,1845,1906,100 S  SALINA ST,LARCENY,,All Other,126053
2022/12/28 00:00:00+00,2356,2356,100 SECOND NORTH ST,AGGRAVATED ASSAULT,,,126054
2022/12/28 00:00:00+00,0000,0130,1000 MONTGOMERY ST,BURGLARY,,From Building,126055
2022/12/28 00:00:00+00,2054,2054,1200 SOUTH AV,BURGLARY,Yes,,126056
2022/12/28 00:00:00+00,1657,1657,1700 N  SALINA ST,LARCENY,Yes,All Other,126057
2022/12/28 00:00:00+00,1730,0630,1700 N  SALINA ST,BURGLARY,,From Building,126058
2022/12/28 00:00:00+00,1909,1909,2500 ERIE BLVD E,LARCENY,,Shoplifting,126059
2022/12/28 00:00:00+00,1937,1937,300 HERBERT ST,LARCENY,,From Building,126060
2022/12/28 00:00:00+00,1129,1129,300 PROSPECT AV,ROBBERY,Yes,,126061
2022/12/28 00:00:00+00,2309,2309,300 SHONNARD ST,ROBBERY,,,126062
2022/12/28 00:00:00+00,1341,1341,400 VELASKO RD,AGGRAVATED ASSAULT,,,126063
2022/12/28 00:00:00+00,1230,1230,800 BUTTERNUT ST,LARCENY,,From Motor Vehicle,126064
2022/12/28 00:00:00+00,0922,0922,900 E  BRIGHTON AV,LARCENY,,From Building,126065
2022/12/27 00:00:00+00,1800,1524,0 MAXWELL CT,LARCENY,,All Other,126066
2022/12/27 00:00:00+00,1432,1600,1 DESTINY USA DR,MV THEFT,,Motor Vehicle,126067
2022/12/27 00:00:00+00,0930,1513,100 E  FAYETTE ST,LARCENY,,All Other,126068
2022/12/27 00:00:00+00,0200,0200,100 S  ALVORD ST,LARCENY,,From Motor Vehicle,126069
2022/12/27 00:00:00+00,0443,0443,100 WESTMORELAND AV,BURGLARY,,From Building,126070
2022/12/27 00:00:00+00,0650,1530,200 COMSTOCK AV,LARCENY,,From Motor Vehicle,126071
2022/12/27 00:00:00+00,1204,1204,200 SENECA DR,MV THEFT,,Motor Vehicle,126072
2022/12/27 00:00:00+00,1009,1009,300 HAWLEY AV,AGGRAVATED ASSAULT,Yes,,126073
2022/12/27 00:00:00+00,1500,1830,400 JAMES ST,BURGLARY,,From Building,126074
2022/12/27 00:00:00+00,0330,0645,400 UNIVERSITY AV,BURGLARY,,From Building,126075
2022/12/27 00:00:00+00,1538,1538,500 WALNUT AV,LARCENY,,All Other,126076
2022/12/27 00:00:00+00,1513,1513,600 BUTTERNUT ST,LARCENY,,All Other,126077
2022/12/27 00:00:00+00,1400,1400,900 JAMES ST,BURGLARY,,From Building,126078
2022/12/26 00:00:00+00,1949,1949,0,AGGRAVATED ASSAULT,,,126079
2022/12/26 00:00:00+00,1850,1850,1 DESTINY USA DR,LARCENY,,Shoplifting,126080
2022/12/26 00:00:00+00,2047,2047,1 DESTINY USA DR,LARCENY,Yes,All Other,126081
2022/12/26 00:00:00+00,1019,1019,1 DESTINY USA DR,LARCENY,,All Other,126082
2022/12/26 00:00:00+00,2113,2113,1100 N  STATE ST,AGGRAVATED ASSAULT,Yes,,126083
2022/12/26 00:00:00+00,0013,0013,1400 LODI ST,ROBBERY,Yes,,126084
2022/12/26 00:00:00+00,1106,1106,200 MARTIN LUTHER KING      E,AGGRAVATED ASSAULT,,,126085
2022/12/26 00:00:00+00,0240,0240,200 SUNSET AVE,AGGRAVATED ASSAULT,Yes,,126086
2022/12/26 00:00:00+00,1412,1412,300 PROSPECT AVE,ROBBERY,,,126087
2022/12/26 00:00:00+00,1303,1303,300 S  SALINA ST,LARCENY,,From Motor Vehicle,126088
2022/12/26 00:00:00+00,1837,1837,500 S  SALINA ST,LARCENY,,All Other,126089
2022/12/26 00:00:00+00,1122,1122,600 BUTTERNUT ST,LARCENY,,Shoplifting,126090
2022/12/25 00:00:00+00,1504,1504,100 DAISY ST,AGGRAVATED ASSAULT,Yes,,126091
2022/12/25 00:00:00+00,1743,1743,100 E  BISSELL ST,BURGLARY,,,126092
2022/12/25 00:00:00+00,0737,0737,100 WOLCOTT AVE,BURGLARY,,From Building,126093
2022/12/25 00:00:00+00,0719,1200,200 SLOCUM HGTS,LARCENY,,All Other,126094
2022/12/25 00:00:00+00,2116,2116,2400 MIDLAND AV,MURDER,,,126095
2022/12/25 00:00:00+00,1508,1508,300 BASIN ST,BURGLARY,,From Building,126096
2022/12/25 00:00:00+00,1852,1852,300 FOBES AVE,BURGLARY,,From Building,126097
2022/12/25 00:00:00+00,1232,1232,4000 S  SALINA ST,BURGLARY,,Shoplifting,126098
2022/12/25 00:00:00+00,1332,1332,800 N  MCBRIDE ST,LARCENY,,From Motor Vehicle,126099
2022/12/25 00:00:00+00,0729,0729,900 E  BRIGHTON AVE,ROBBERY,Yes,,126100
2022/12/24 00:00:00+00,1506,1506,0,LARCENY,,From Motor Vehicle,126101
2022/12/24 00:00:00+00,1345,1345,1200 BUTTERNUT ST,AGGRAVATED ASSAULT,,,126102
2022/12/24 00:00:00+00,0734,0734,1200 W  GENESEE ST,MV THEFT,Yes,Of Bicycle,126103
2022/12/24 00:00:00+00,2214,2214,1400 BURNET AVE,BURGLARY,,From Building,126104
2022/12/24 00:00:00+00,0959,0959,1500 S  SALINA ST,AGGRAVATED ASSAULT,,,126105
2022/12/24 00:00:00+00,1103,1103,200 THURBER ST,LARCENY,,From Building,126106
2022/12/24 00:00:00+00,0602,0602,2800 S  SALINA ST,BURGLARY,Yes,,126107
2022/12/24 00:00:00+00,1708,1708,300 HILLSDALE AVE,AGGRAVATED ASSAULT,,,126108
2022/12/24 00:00:00+00,1334,1334,300 W COLVIN ST,AGGRAVATED ASSAULT,,,126109
2022/12/24 00:00:00+00,0809,0809,4000 S  SALINA ST,LARCENY,,Shoplifting,126110
2022/12/24 00:00:00+00,0nan,2050,600 RICHMOND AVE,MURDER,,,126111
2022/12/24 00:00:00+00,1131,1131,700 FIRST NORTH ST,LARCENY,,Shoplifting,126112
2022/12/24 00:00:00+00,0204,0204,800 E  BRIGHTON AVE,LARCENY,,All Other,126113
2022/12/23 00:00:00+00,1200,1725,1 DESTINY USA DR,LARCENY,,All Other,126114
2022/12/23 00:00:00+00,1824,1824,1 DESTINY USA DR,LARCENY,,Shoplifting,126115
2022/12/23 00:00:00+00,1753,1753,100 E  MATSON AVE,AGGRAVATED ASSAULT,,,126116
2022/12/23 00:00:00+00,1126,1126,100 FRISBIE CT,AGGRAVATED ASSAULT,Yes,,126117
2022/12/23 00:00:00+00,1648,1648,100 SABINE ST,LARCENY,,All Other,126118
2022/12/23 00:00:00+00,0917,0917,300 DANFORTH ST,MV THEFT,Yes,Of Bicycle,126119
2022/12/23 00:00:00+00,1423,1423,300 W  GENESEE ST,BURGLARY,Yes,From Building,126120
2022/12/23 00:00:00+00,0127,0127,600 BUTTERNUT ST,BURGLARY,,From Building,126121
2022/12/22 00:00:00+00,1358,1358,100 WESTMORELAND AVE,BURGLARY,,From Building,126122
2022/12/22 00:00:00+00,1422,1422,1600 E  FAYETTE ST,LARCENY,,All Other,126123
2022/12/22 00:00:00+00,0944,0944,1900 ERIE BLVD E,ROBBERY,,,126124
2022/12/22 00:00:00+00,1053,1053,200 W  CALTHROP AVE,LARCENY,,All Other,126125
2022/12/22 00:00:00+00,1625,1625,2300 JAMES ST,LARCENY,,Shoplifting,126126
2022/12/22 00:00:00+00,1922,1922,400 BURT ST,BURGLARY,,From Building,126127
2022/12/22 00:00:00+00,1739,1739,600 BUTTERNUT ST,LARCENY,,From Building,126128
2022/12/22 00:00:00+00,1915,1915,700 S  BEECH ST,ROBBERY,,,126129
2022/12/22 00:00:00+00,1709,1709,700 WESTCOTT ST,LARCENY,,All Other,126130
2022/12/22 00:00:00+00,1200,1200,800 W  BELDEN AVE,MV THEFT,,,126131
2022/12/21 00:00:00+00,1400,2100,100 BALLANTYNE RD,BURGLARY,,From Building,126132
2022/12/21 00:00:00+00,1353,1353,100 DICKERSON ST,AGGRAVATED ASSAULT,,,126133
2022/12/21 00:00:00+00,1446,1446,1000 WOLF ST,BURGLARY,,From Building,126134
2022/12/21 00:00:00+00,0157,0157,1400 GRANT BLVD,BURGLARY,,From Building,126135
2022/12/21 00:00:00+00,0531,0531,1600 BUTTERNUT ST,AGGRAVATED ASSAULT,,,126136
2022/12/21 00:00:00+00,1724,1724,200 BEATTIE ST,LARCENY,,All Other,126137
2022/12/21 00:00:00+00,1553,1553,200 HOUSTON AV,LARCENY,,All Other,126138
2022/12/21 00:00:00+00,1900,1900,2100 S  SALINA ST,LARCENY,,All Other,126139
2022/12/21 00:00:00+00,0923,0923,300 N  MIDLER AV,LARCENY,,From Motor Vehicle,126140
2022/12/21 00:00:00+00,1729,1729,500 S  SALINA ST,LARCENY,,Pocket Picking,126141
2022/12/21 00:00:00+00,2054,2054,500 WILKINSON ST,MV THEFT,,Motor Vehicle,126142
2022/12/21 00:00:00+00,2255,2255,900 E  GENESEE ST,BURGLARY,,All Other,126143
2022/12/20 00:00:00+00,1330,1345,1 DESTINY USA DR,MV THEFT,,Of Bicycle,126144
2022/12/20 00:00:00+00,1937,1937,100 BEATTIE ST,LARCENY,,All Other,126145
2022/12/20 00:00:00+00,2036,2036,100 E  COLVIN ST,BURGLARY,Yes,,126146
2022/12/20 00:00:00+00,1158,1158,100 JAMESVILLE AV,LARCENY,,Unknown,126147
2022/12/20 00:00:00+00,1416,1416,100 JOHN ST,AGGRAVATED ASSAULT,,,126148
2022/12/20 00:00:00+00,1519,1519,200 FURMAN ST,LARCENY,,All Other,126149
2022/12/20 00:00:00+00,1943,1943,2700 ERIE BLVD E,LARCENY,,All Other,126150
2022/12/20 00:00:00+00,2129,2129,2800 JAMES ST,ROBBERY,,,126151
2022/12/20 00:00:00+00,1440,1440,4000 S  SALINA ST,LARCENY,Yes,Shoplifting,126152
2022/12/20 00:00:00+00,1708,1708,500 PARK ST,ROBBERY,Yes,,126153
2022/12/20 00:00:00+00,1536,1536,800 PARK AV,MV THEFT,,Motor Vehicle,126154
2022/12/19 00:00:00+00,1621,1621,1 DESTINY USA DR,LARCENY,,Shoplifting,126155
2022/12/19 00:00:00+00,1200,2100,100 AMES AVE,BURGLARY,,,126156
2022/12/19 00:00:00+00,2230,2230,100 KINNE ST,BURGLARY,,All Other,126157
2022/12/19 00:00:00+00,0811,0811,1500 BELLEVUE AV,AGGRAVATED ASSAULT,Yes,,126158
2022/12/19 00:00:00+00,2158,2158,1700 PARK ST,AGGRAVATED ASSAULT,Yes,,126159
2022/12/19 00:00:00+00,0645,0656,200 FERNDALE DR,MV THEFT,,Motor Vehicle,126160
2022/12/19 00:00:00+00,2000,2010,2000 E  GENESEE ST,LARCENY,,From Motor Vehicle,126161
2022/12/19 00:00:00+00,2345,2345,3000 ERIE BLVD E,AGGRAVATED ASSAULT,,,126162
2022/12/19 00:00:00+00,1629,1629,600 W  BRIGHTON AVE,LARCENY,,From Motor Vehicle,126163
2022/12/18 00:00:00+00,0953,0953,100 LAFAYETTE RD,LARCENY,,All Other,126164
2022/12/18 00:00:00+00,1140,1112,100 SOLAR ST,LARCENY,,From Motor Vehicle,126165
2022/12/18 00:00:00+00,1740,1745,100 WARNER AV,MV THEFT,,Motor Vehicle,126166
2022/12/18 00:00:00+00,2216,2216,1300 LEMOYNE AV,LARCENY,,From Mailbox,126167
2022/12/18 00:00:00+00,1811,1811,1400 BURNET AVE,ROBBERY,,,126168
2022/12/18 00:00:00+00,0210,0210,200 GILBERT AV,LARCENY,,Of MV Parts/Accessories,126169
2022/12/18 00:00:00+00,1646,1646,200 S  GEDDES ST,LARCENY,,Shoplifting,126170
2022/12/18 00:00:00+00,1623,1623,600 E  SENECA TPKE,AGGRAVATED ASSAULT,Yes,,126171
2022/12/18 00:00:00+00,1437,1103,900 VELASKO RD,LARCENY,,All Other,126172
2022/12/17 00:00:00+00,1454,1454,100 COMMONWEALTH AV,AGGRAVATED ASSAULT,Yes,,126173
2022/12/17 00:00:00+00,1728,1728,100 GAGE CT,LARCENY,,All Other,126174
