X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,ARREST,LARCENYCODE,CODE_DEFINED,LAT,LONG,OBJECTID
-76.104792,43.0460640000001,2024/05/25 04:00:00+00,220,220,0 CANDEE AV & SALT SPRINGS RD        ,,Of Bicycle,MV THEFT,43.0460640000001,-76.104792,1
-76.145764501,43.017633,2024/07/10 04:00:00+00,610,610,0 CANNON ST & W NEWELL ST        ,Yes,,AGGRAVATED ASSAULT,43.017633,-76.145764501,2
-76.160408762,43.027214912,2024/07/16 04:00:00+00,2341,2341,0 CENTENNIAL DR     ,,Of Bicycle,MV THEFT,43.027214912,-76.160408762,3
-76.160408762,43.027214912,2024/06/24 04:00:00+00,2130,856,0 CENTENNIAL DR     ,,Of MV Parts/Accessories,LARCENY,43.027214912,-76.160408762,4
-76.160408762,43.027214912,2024/01/26 05:00:00+00,1300,2144,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,5
-76.160408762,43.027214912,2024/03/30 04:00:00+00,2130,930,0 CENTENNIAL DR     ,,Of Bicycle,MV THEFT,43.027214912,-76.160408762,6
-76.160408762,43.027214912,2024/07/15 04:00:00+00,2000,2000,0 CENTENNIAL DR     ,,,AGGRAVATED ASSAULT,43.027214912,-76.160408762,7
-76.160408762,43.027214912,2024/02/10 05:00:00+00,1308,1308,0 CENTENNIAL DR     ,Yes,,AGGRAVATED ASSAULT,43.027214912,-76.160408762,8
-76.16068425,43.0460865000001,2024/02/22 05:00:00+00,1228,1228,0 CORCORAN CT     ,,All Other,LARCENY,43.0460865000001,-76.16068425,9
-76.1608552499999,43.0442415,2024/07/15 04:00:00+00,1639,1639,0 COSTELLO CT   ,Yes,,AGGRAVATED ASSAULT,43.0442415000001,-76.1608552499999,10
-76.154013001,43.074828,2024/03/06 05:00:00+00,1600,1600,0 COURT ST & GRANT BLVD  ,,,AGGRAVATED ASSAULT,43.074828,-76.154013001,11
-76.1547869999999,43.0701570000001,2024/04/27 04:00:00+00,900,900,0 DANFORTH ST & SPRING ST        ,,,AGGRAVATED ASSAULT,43.0701570000001,-76.1547869999999,12
-76.169933513,43.0376762590001,2024/04/09 04:00:00+00,1100,1100,0 DELAWARE ST   ,,,AGGRAVATED ASSAULT,43.0376762590001,-76.169933513,13
-76.153535999,43.0443900000001,2024/05/23 04:00:00+00,2300,400,0 DICKERSON ST & S CLINTON ST    ,,,AGGRAVATED ASSAULT,43.0443900000001,-76.153535999,14
-76.152226501,43.0487010000001,2024/06/06 04:00:00+00,1910,1910,0 E FAYETTE ST & S SALINA ST        ,Yes,Of Bicycle,MV THEFT,43.0487010000001,-76.152226501,15
-76.13775,43.046973,2024/02/23 05:00:00+00,1942,1942,0 E GENESEE ST & IRVING AV  ,,,AGGRAVATED ASSAULT,43.046973,-76.13775,16
-76.152186,43.050546,2024/07/05 04:00:00+00,1936,1936,0 E WATER ST & S SALINA ST    ,,,AGGRAVATED ASSAULT,43.0505460000001,-76.152186,17
-76.130622,43.050645,2024/05/30 04:00:00+00,1716,1716,0 ERIE BLVD E & LODI ST        ,Yes,,AGGRAVATED ASSAULT,43.050645,-76.130622,18
-76.1390325,43.0722900000001,2024/06/26 04:00:00+00,600,1911,0 GRANT BLVD & WADSWORTH ST        ,,Of Bicycle,MV THEFT,43.0722900000001,-76.1390325,19
-76.176333068,43.0692249150001,2024/04/13 04:00:00+00,2046,2046,0 HARBORSIDE DR     ,,Of Bicycle,MV THEFT,43.0692249150001,-76.176333068,20
-76.176333068,43.0692249150001,2024/07/04 04:00:00+00,1158,1158,0 HARBORSIDE DR     ,Yes,Shoplifting,LARCENY,43.0692249150001,-76.176333068,21
-76.156983,43.0051500000001,2024/06/19 04:00:00+00,2000,700,0 BRADFORD CT   ,,Of Bicycle,MV THEFT,43.0051500000001,-76.156983,22
-76.147524,43.0442820000001,2024/06/29 04:00:00+00,1815,1815,0 HARRISON ST & S STATE ST        ,,,ROBBERY,43.0442820000001,-76.147524,23
-76.138927326,43.0532884240001,2024/04/22 04:00:00+00,1420,1620,0 HAWLEY AVE    ,,All Other,LARCENY,43.0532884240001,-76.138927326,24
-76.1835465,43.0567740000001,2024/02/13 05:00:00+00,20,30,0 HIAWATHA BLVD W & STATE FAIR BLVD    ,Yes,,ROBBERY,43.0567740000001,-76.1835465,25
-76.147524,43.0442820000001,2024/06/18 04:00:00+00,1510,1510,0 HARRISON ST & S STATE ST        ,Yes,Of Bicycle,MV THEFT,43.0442820000001,-76.147524,26
-76.152668147,43.070156943,2024/05/24 04:00:00+00,2248,2248,0 KIRKPATRICK ST     ,,,ROBBERY,43.070156943,-76.152668147,27
-76.1736779999999,43.0556490000001,2024/06/08 04:00:00+00,1817,1817,0 LIBERTY ST & EDISON ST        ,,,ROBBERY,43.0556490000001,-76.1736779999999,28
-76.1498144999999,43.0740180000001,2024/03/03 05:00:00+00,2000,2000,0 KIRKPATRICK ST & GRANT BLVD  ,,All Other,LARCENY,43.0740180000001,-76.1498144999999,29
-76.1742179999999,43.0502490000001,2024/05/17 04:00:00+00,2130,2135,0 LIBERTY ST & RICHMOND AV    ,,Of Bicycle,MV THEFT,43.0502490000001,-76.1742179999999,30
-76.1528925,43.064082,2024/05/19 04:00:00+00,250,250,0 LILAC ST & POND ST        ,,,AGGRAVATED ASSAULT,43.064082,-76.1528925,31
-76.1369625,43.054497,2024/03/15 04:00:00+00,2130,2130,0 LODI ST & GERTRUDE ST    ,,Of Bicycle,MV THEFT,43.054497,-76.1369625,32
-76.151743078,43.0003488680001,2024/04/04 04:00:00+00,30,815,0 MACDOUGALL PL     ,,Of Bicycle,MV THEFT,43.0003488680001,-76.151743078,33
-76.15731825,43.0058070000001,2024/04/26 04:00:00+00,2201,235,0 MAXWELL CT     ,,From Motor Vehicle,LARCENY,43.0058070000001,-76.1573182499999,34
-76.125771,43.0454520000001,2024/04/25 04:00:00+00,1713,1713,0 MADISON ST & S BEECH ST        ,,,ROBBERY,43.0454520000001,-76.125771,35
-76.15731825,43.0058070000001,2024/03/10 05:00:00+00,1800,918,0 MAXWELL CT     ,,Of Bicycle,MV THEFT,43.0058070000001,-76.1573182499999,36
-76.1478435,43.012206,2024/05/11 04:00:00+00,1615,1615,0 MIDLAND AV & HALL AV    ,,,ROBBERY,43.012206,-76.1478435,37
-76.1528475,43.0293600000001,2024/01/15 05:00:00+00,1107,1107,0 MIDLAND AV & W KENNEDY ST        ,Yes,,AGGRAVATED ASSAULT,43.0293600000001,-76.1528475,38
-76.1548544999999,43.053363,2024/04/21 04:00:00+00,1732,1733,0 N FRANKLIN ST & HERALD PL        ,,,AGGRAVATED ASSAULT,43.053363,-76.1548544999999,39
-76.1521499999999,43.0523640000001,2024/05/19 04:00:00+00,1145,1145,0 N SALINA ST & E WILLOW ST        ,,,AGGRAVATED ASSAULT,43.0523640000001,-76.1521499999999,40
-76.152172499,43.0508970000001,2024/04/03 04:00:00+00,1625,711,0 N SALINA ST & ERIE BLVD E    ,,Of Bicycle,MV THEFT,43.0508970000001,-76.152172499,41
-76.165245,43.069869,2024/04/26 04:00:00+00,1650,1850,0 N SALINA ST & WOLF ST        ,,All Other,LARCENY,43.069869,-76.165245,42
,,2024/03/22 04:00:00+00,1630,1630,0 PARK ST & CARBON ST    ,,Of Bicycle,MV THEFT,,,43
-76.165245,43.069869,2024/05/31 04:00:00+00,1634,1634,0 N SALINA ST & WOLF ST        ,,All Other,LARCENY,43.069869,-76.165245,44
-76.1659965,43.0716780000001,2024/05/01 04:00:00+00,1800,1805,0 PARK ST & HIAWATHA BLVD E        ,,From Motor Vehicle,LARCENY,43.0716780000001,-76.1659964999999,45
-76.156983,43.0051500000001,2024/03/20 04:00:00+00,2003,2003,0 BRADFORD CT     ,,All Other,LARCENY,43.0051500000001,-76.156983,46
,,2024/03/21 04:00:00+00,300,300,0 PRESIDENTIAL CT     ,,From Building,BURGLARY,,,47
,,2024/02/09 05:00:00+00,201,201,0 PRESIDENTIAL CT     ,Yes,Motor Vehicle,BURGLARY,,,48
-76.148964,43.069374,2024/04/28 04:00:00+00,2200,1648,0 POND ST & FIRST NORTH ST  ,,,ROBBERY,43.069374,-76.148964,49
,,2024/05/15 04:00:00+00,1800,1430,0 PRESIDENTIAL CT     ,,From Building,BURGLARY,,,50
,,2024/01/04 05:00:00+00,2012,2012,0 PRESIDENTIAL PLZ    ,,All Other,LARCENY,,,51
,,2024/02/23 05:00:00+00,1357,1357,0 PRESIDENTIAL PLZ  ,,All Other,LARCENY,,,52
,,2024/05/29 04:00:00+00,1345,1345,0 PRESIDENTIAL PLZ    ,,Of Bicycle,MV THEFT,,,53
,,2024/06/19 04:00:00+00,1800,1105,0 PRESIDENTIAL PLZ    ,,From Motor Vehicle,LARCENY,,,54
,,2024/06/04 04:00:00+00,1945,1945,0 PRESIDENTIAL PLZ    ,,All Other,LARCENY,,,55
,,2024/06/07 04:00:00+00,1200,1700,0 PRESIDENTIAL PLZ    ,,From Motor Vehicle,LARCENY,,,56
,,2024/04/17 04:00:00+00,2330,830,0 PRESIDENTIAL PLZ    ,,From Motor Vehicle,LARCENY,,,57
,,2024/06/12 04:00:00+00,1919,1919,0 PRESIDENTIAL PLZ    ,,All Other,LARCENY,,,58
,,2024/07/09 04:00:00+00,0,800,0 PRESIDENTIAL CT     ,,From Motor Vehicle,LARCENY,,,59
-76.1707034999999,43.0501590000001,2024/01/23 05:00:00+00,730,730,0 RICHMOND AV & N GEDDES ST        ,Yes,,AGGRAVATED ASSAULT,43.0501590000001,-76.1707034999999,60
,,2024/01/11 05:00:00+00,230,230,0 PRESIDENTIAL PLZ    ,,,BURGLARY,,,61
-76.141404001,43.0603200000001,2024/06/06 04:00:00+00,1810,1810,0 S ALVORD ST & HIGHLAND ST        ,Yes,,AGGRAVATED ASSAULT,43.06032,-76.141404001,62
-76.1276295,43.0504290000001,2024/06/19 04:00:00+00,506,506,0 S BEECH ST & ERIE BLVD E  ,,,AGGRAVATED ASSAULT,43.0504290000001,-76.1276295,63
